Fecha,Precio de venta,Tipo de dólar
14/05/2013 12:00:00 a.m.,"9,2",Informal (Blue)
15/05/2013 12:00:00 a.m.,"5,25",Oficial
15/05/2013 12:00:00 a.m.,"9,05",Informal (Blue)
16/05/2013 12:00:00 a.m.,"5,25",Oficial
16/05/2013 12:00:00 a.m.,"8,95",Informal (Blue)
17/05/2013 12:00:00 a.m.,"5,255",Oficial
17/05/2013 12:00:00 a.m.,"8,95",Informal (Blue)
20/05/2013 12:00:00 a.m.,"5,255",Oficial
20/05/2013 12:00:00 a.m.,"8,9",Informal (Blue)
21/05/2013 12:00:00 a.m.,"5,26",Oficial
21/05/2013 12:00:00 a.m.,"8,58",Informal (Blue)
22/05/2013 12:00:00 a.m.,"5,26",Oficial
22/05/2013 12:00:00 a.m.,"8,43",Informal (Blue)
23/05/2013 12:00:00 a.m.,"5,27",Oficial
23/05/2013 12:00:00 a.m.,"8,8",Informal (Blue)
24/05/2013 12:00:00 a.m.,"5,275",Oficial
24/05/2013 12:00:00 a.m.,"8,95",Informal (Blue)
27/05/2013 12:00:00 a.m.,"5,275",Oficial
27/05/2013 12:00:00 a.m.,"8,93",Informal (Blue)
28/05/2013 12:00:00 a.m.,"5,275",Oficial
28/05/2013 12:00:00 a.m.,"8,88",Informal (Blue)
29/05/2013 12:00:00 a.m.,"5,285",Oficial
29/05/2013 12:00:00 a.m.,"8,8",Informal (Blue)
30/05/2013 12:00:00 a.m.,"5,285",Oficial
30/05/2013 12:00:00 a.m.,"8,87",Informal (Blue)
31/05/2013 12:00:00 a.m.,"5,295",Oficial
31/05/2013 12:00:00 a.m.,"8,8",Informal (Blue)
03/06/2013 12:00:00 a.m.,"5,295",Oficial
03/06/2013 12:00:00 a.m.,"8,6",Informal (Blue)
04/06/2013 12:00:00 a.m.,"5,3",Oficial
04/06/2013 12:00:00 a.m.,"8,5",Informal (Blue)
05/06/2013 12:00:00 a.m.,"5,3",Oficial
05/06/2013 12:00:00 a.m.,"8,55",Informal (Blue)
06/06/2013 12:00:00 a.m.,"5,31",Oficial
06/06/2013 12:00:00 a.m.,"8,57",Informal (Blue)
07/06/2013 12:00:00 a.m.,"5,315",Oficial
07/06/2013 12:00:00 a.m.,"8,57",Informal (Blue)
10/06/2013 12:00:00 a.m.,"5,32",Oficial
10/06/2013 12:00:00 a.m.,"8,57",Informal (Blue)
